date,average_price_rs_kg,highest_price_rs_kg,district,grade
2024-06-09,3500.0,3500.0,Monaragala,C-5
2024-06-16,4000.0,4000.0,Badulla,M-5
2024-06-16,3800.0,3800.0,Badulla,M-4
2024-06-16,3350.0,3400.0,Monaragala,C-5
2024-06-23,3500.0,3500.0,Monaragala,C-5
2024-06-23,3800.0,3800.0,Badulla,M-4
2024-06-23,4000.0,4000.0,Badulla,M-5
2024-06-30,4000.0,4000.0,Badulla,M-5
2024-06-30,3800.0,3800.0,Badulla,M-4
2024-06-30,3350.0,3500.0,Monaragala,C-5
2024-07-07,3300.0,3500.0,Monaragala,C-5
2024-07-07,3800.0,3800.0,Badulla,M-4
2024-07-07,4000.0,4000.0,Badulla,M-5
2024-07-14,3300.0,3500.0,Monaragala,C-5
2024-07-14,4000.0,4000.0,Badulla,M-5
2024-07-14,3800.0,3800.0,Badulla,M-4
2024-07-21,4000.0,4000.0,Badulla,M-5
2024-07-21,3800.0,3800.0,Badulla,M-4
2024-07-21,3550.0,3600.0,Monaragala,C-5
2024-07-28,4000.0,4000.0,Badulla,M-5
2024-07-28,3200.0,3400.0,Monaragala,C-5
2024-07-28,3800.0,3800.0,Badulla,M-4
2024-08-04,4000.0,4000.0,Badulla,M-5
2024-08-04,3800.0,3800.0,Badulla,M-4
2024-08-04,3350.0,3400.0,Monaragala,C-5
2024-08-11,4000.0,4000.0,Badulla,M-5
2024-08-11,3800.0,3800.0,Badulla,M-4
2024-08-11,3350.0,3500.0,Monaragala,C-5
2024-08-18,3800.0,3800.0,Badulla,M-4
2024-08-18,4000.0,4000.0,Badulla,M-5
2024-08-25,4000.0,4000.0,Badulla,M-5
2024-08-25,3800.0,3800.0,Badulla,M-4
2024-09-01,3500.0,3500.0,Badulla,M-4
2024-09-01,3700.0,3700.0,Badulla,M-5
2024-10-06,2600.0,2600.0,Gampaha,H-1
2024-10-06,2400.0,2400.0,Gampaha,H-2
2024-10-13,2600.0,2600.0,Gampaha,H-1
2024-10-13,2400.0,2400.0,Gampaha,H-2
2024-10-20,2600.0,2600.0,Gampaha,H-1
2024-10-20,2400.0,2400.0,Gampaha,H-2
2024-10-27,2600.0,2600.0,Gampaha,H-1
2024-10-27,2400.0,2400.0,Gampaha,H-2
2024-11-03,3500.0,3600.0,Gampaha,Alba
2024-11-03,2400.0,2400.0,Gampaha,H-2
2024-11-03,2600.0,2600.0,Gampaha,H-1
2024-11-10,3500.0,3600.0,Gampaha,Alba
2024-11-10,2400.0,2400.0,Gampaha,H-2
2024-11-10,2600.0,2600.0,Gampaha,H-1
2024-11-17,3500.0,3600.0,Gampaha,Alba
2024-11-17,2600.0,2600.0,Gampaha,H-1
2024-11-17,2400.0,2400.0,Gampaha,H-2
2024-11-24,2600.0,2600.0,Gampaha,H-1
2024-11-24,2400.0,2400.0,Gampaha,H-2
2024-11-24,3500.0,3600.0,Gampaha,Alba
2024-12-01,2400.0,2400.0,Gampaha,H-2
2024-12-01,2600.0,2600.0,Gampaha,H-1
2024-12-01,3500.0,3600.0,Gampaha,Alba
2024-12-08,2400.0,2400.0,Gampaha,H-2
2024-12-08,2600.0,2600.0,Gampaha,H-1
2024-12-08,3500.0,3600.0,Gampaha,Alba
2024-12-15,3500.0,3600.0,Gampaha,Alba
2024-12-15,2400.0,2400.0,Gampaha,H-2
2024-12-15,2600.0,2600.0,Gampaha,H-1
2024-12-22,3950.0,4000.0,Gampaha,C-5 Sp
2024-12-22,4500.0,4600.0,Gampaha,Alba
2024-12-22,3500.0,3600.0,Gampaha,H-1
2024-12-22,3350.0,3400.0,Gampaha,H-2
2025-05-25,3125.0,3300.0,Monaragala,H-1
2025-05-25,2950.0,3100.0,Monaragala,H-2
2025-06-01,3000.0,3000.0,Monaragala,H-1
2025-06-01,2788.0,2850.0,Monaragala,H-2
2025-06-08,3150.0,3300.0,Monaragala,H-1
2025-06-08,2900.0,3100.0,Monaragala,H-2
2025-06-15,3250.0,3300.0,Monaragala,H-1
2025-06-15,3050.0,3100.0,Monaragala,H-2
2025-06-22,3100.0,3200.0,Monaragala,H-1
2025-06-22,3050.0,3100.0,Monaragala,H-2
2025-06-29,3050.0,3100.0,Monaragala,H-2
2025-06-29,3200.0,3300.0,Monaragala,H-1
2025-07-06,3066.0,3100.0,Monaragala,H-2
2025-07-06,3266.0,3300.0,Monaragala,H-1
2025-07-13,3200.0,3300.0,Monaragala,H-1
2025-07-13,3000.0,3100.0,Monaragala,H-2
2025-07-20,3100.0,3200.0,Monaragala,H-2
2025-07-20,3250.0,3300.0,Monaragala,H-1
2025-07-27,3150.0,3200.0,Monaragala,H-1
2025-07-27,3000.0,3100.0,Monaragala,H-2
2025-08-03,3100.0,3200.0,Monaragala,H-1
2025-08-03,2900.0,3000.0,Monaragala,H-2
2025-08-10,3050.0,3100.0,Monaragala,H-2
